dx,dy,distance,dvx,dvy,speed1,speed2,heading_diff,label
-88.751,-83.9697,122.1787,2.9835,20.6119,11.2939,24.3166,301.2693,0
37.5784,46.1228,59.4933,19.5725,1.0821,25.1499,14.0608,50.9085,0
75.6526,13.4995,76.8475,12.111,24.0191,29.8991,16.663,63.2802,0
-39.9103,-11.8189,41.6235,-12.4193,-44.3928,28.6215,18.1852,159.5008,0
-50.4571,31.341,59.3985,29.3585,-16.5839,15.6092,23.1696,119.5265,1
32.4747,-15.7455,36.0905,-0.7581,3.426,4.0205,0.8635,48.538,0
-56.7708,-19.8419,60.1384,-8.1516,0.1859,10.5176,17.6975,16.2831,0
-39.0169,43.5398,58.4639,10.0135,3.2321,11.8963,18.6626,31.3765,0
34.5043,-66.8343,75.2155,-0.2022,25.2359,13.7741,29.401,58.9919,0
-55.7538,-11.1266,56.8532,-5.3558,-6.4689,3.8414,4.5571,180.7371,0
71.4908,12.8294,72.6329,-2.1037,-17.4116,20.0267,5.1696,54.5113,0
0.8075,-18.9888,19.0059,-10.0744,6.9272,3.6191,13.8234,56.857,0
-46.4105,10.9016,47.6737,-11.0445,12.2684,18.837,2.4528,17.0258,0
74.5123,47.1382,88.1708,-2.4495,-3.4143,5.5356,6.2805,41.0583,0
-15.572,37.8557,40.9334,6.2411,-3.5624,1.1005,7.5731,65.4686,0
-40.4505,-8.4701,41.3278,-3.2896,-10.7926,15.9785,7.2741,38.8947,0
19.1377,0.5418,19.1453,-8.5219,-22.1155,3.5929,26.7158,30.7836,0
-70.2251,3.8664,70.3315,31.5617,8.738,17.6052,22.3632,109.4685,0
36.2141,20.7696,41.7473,10.7818,36.0888,10.6829,29.5955,132.6773,0
14.4175,0.7822,14.4387,4.224,-10.1276,5.597,8.5529,260.4211,0
33.0163,45.7867,56.4491,4.6222,-8.2871,3.3612,11.9357,37.4268,0
-64.6184,41.074,76.5678,21.9785,28.5337,27.8813,16.7029,104.9881,0
-44.5814,23.8393,50.555,-17.0185,-14.7163,15.2283,7.2723,178.482,0
-13.4268,-10.0098,16.7474,9.3039,-12.5076,15.9777,1.5547,72.7883,0
25.8979,-18.0086,31.5438,-17.3541,-3.9362,7.6392,20.4451,59.2521,0
-12.2708,51.7688,53.2032,-21.1696,-46.284,24.9186,28.9508,218.3653,0
-87.1844,55.9888,103.614,-3.9179,-37.5037,17.2342,25.2549,235.9782,0
-3.7362,65.0919,65.199,23.8553,-26.4108,19.9559,15.692,186.6132,0
4.669,-43.9655,44.2127,-8.8315,13.7243,13.8804,9.0413,88.16,0
15.1679,-35.6022,38.6986,-2.778,-25.1381,27.1942,18.7271,296.2563,0
-48.8436,45.912,67.0344,-10.7757,-4.0321,18.6022,16.0038,37.9063,0
9.6814,43.2224,44.2934,12.1439,-10.9514,1.006,17.0967,41.1505,0
-23.145,2.5195,23.2817,5.8907,13.2958,3.8247,11.9186,233.0561,0
49.0785,-8.1105,49.7442,-8.9752,-7.391,20.8185,16.2817,33.8029,0
40.1794,-50.7599,64.7376,-32.2574,-26.0369,13.8602,28.4185,155.8362,0
-48.7778,26.067,55.3061,24.1822,18.4739,27.9635,16.954,81.3055,0
-13.095,45.4176,47.2677,8.0638,-4.8601,12.7239,22.0933,3.1675,0
53.4002,72.566,90.0966,-29.9903,-0.5343,3.7399,27.6253,126.381,0
-53.6514,-6.3805,54.0295,11.9531,-20.7632,24.0856,0.139,23.281,0
-19.105,-57.2902,60.3918,-16.4807,-17.8499,22.125,13.5665,82.0205,0
35.7511,24.2538,43.2017,16.6728,5.2804,27.4454,10.8718,18.6033,0
16.4942,29.7533,34.0193,8.6025,-2.523,4.4599,12.4387,328.1489,0
-43.5119,15.4575,46.1759,8.058,19.0436,6.2972,26.9416,5.2027,0
52.8291,-40.6358,66.6498,10.3256,8.4969,23.2658,13.5987,30.1059,0
-24.5523,-37.7712,45.0497,14.3969,9.6683,25.8536,28.3835,36.9233,0
-61.8613,-25.2582,66.8191,-17.7054,15.8228,21.4792,19.7677,70.1554,0
-21.1364,-56.7784,60.585,14.1656,24.9964,23.9975,5.3563,149.2428,0
62.2826,61.2524,87.3555,15.586,33.1219,24.9066,11.9155,166.7163,0
-28.0146,-81.0827,85.7859,-3.2945,-6.0635,6.2366,0.796,144.5782,0
39.6019,-55.0854,67.8433,5.2734,15.4998,7.7827,11.3908,116.0033,0
-7.2102,2.6715,7.6892,17.3671,30.7385,8.834,28.4536,224.4573,0
2.6084,31.2424,31.3511,0.8424,-12.843,12.7564,0.6741,98.2645,1
-49.4122,57.7043,75.9694,-16.1565,-10.4118,29.5321,15.7707,36.2261,0
9.936,-33.7782,35.2093,12.7587,-7.8875,8.2217,16.6253,64.1957,0
-6.9536,88.9023,89.1738,12.0399,0.0499,26.2167,17.9224,23.2271,0
24.3399,-53.1273,58.4375,-7.922,-14.8681,15.5675,1.409,205.8301,0
16.255,-21.3856,26.8621,-1.4394,18.7034,8.6608,10.6702,151.8927,0
9.7267,46.0779,47.0934,-22.0531,2.1506,21.9772,6.4482,83.1891,0
-9.8712,54.5417,55.4278,12.7365,4.2924,10.0273,23.1274,11.3258,0
-3.9786,-6.0664,7.2547,-10.6264,-16.0658,7.3921,24.5731,37.699,0
8.8829,-49.8649,50.6499,-30.0558,9.8309,27.5194,4.1046,181.5234,0
68.7813,19.0324,71.3659,20.1205,6.5752,24.1968,19.7635,56.4909,0
-2.8459,49.8243,49.9055,8.8579,26.6903,28.3218,1.1828,79.0823,0
73.4913,-53.3999,90.8434,-9.8326,7.9561,20.9226,8.9205,16.7983,0
-8.2224,37.0335,37.9353,-29.7706,-16.3472,9.573,24.8675,201.3344,0
-15.3056,57.5722,59.5719,-18.0201,15.8686,10.1962,21.743,89.9762,0
-22.0739,-16.4832,27.5491,15.4188,-23.6056,26.5793,18.4759,75.0811,0
0.4603,50.7668,50.7689,-42.3416,19.6894,28.172,23.9635,233.0,0
-28.7313,22.5575,36.5284,-28.6714,40.6219,26.2103,29.5225,126.1824,0
-18.258,-62.7108,65.3146,3.9379,-1.62,10.6387,8.6172,22.5721,0
94.5629,40.9899,103.0646,17.1054,-17.6066,11.5298,20.3894,263.4146,0
-36.8764,78.9707,87.1565,28.4286,30.6893,28.342,14.022,160.6959,0
-4.8437,41.7975,42.0772,4.6418,-4.3271,18.2321,15.3807,19.491,0
55.9098,16.3687,58.2567,24.8358,-11.5915,1.7353,29.0731,15.8279,0
-59.8666,58.4343,83.6575,-7.6546,23.6771,20.8806,4.6169,212.9013,0
36.9122,4.3112,37.1631,18.3469,16.4028,2.7446,26.3238,48.9906,0
-2.662,-14.6135,14.854,-30.66,-1.2267,19.6573,16.5257,115.7279,0
35.0732,23.6122,42.2808,6.8541,5.2613,2.4314,6.6055,218.566,0
-37.062,9.7261,38.317,1.2552,18.0648,24.7404,10.4343,40.4223,0
53.0398,-22.0178,57.4282,20.1267,2.423,25.5175,26.0188,46.3141,0
-7.886,7.2576,10.7174,22.684,8.2595,4.7582,26.4261,303.3346,0
-49.0698,61.4638,78.6489,-26.8919,3.0437,4.8228,24.539,116.8799,0
61.0541,69.4148,92.4447,5.0739,12.2017,18.9544,7.7941,33.8473,0
-1.8817,43.4286,43.4693,28.7617,17.1344,28.8898,10.2562,107.7862,0
58.5376,-86.9391,104.8097,-26.7084,-14.1957,9.0289,21.2452,185.3351,0
-30.0141,25.0621,39.1019,19.9497,50.4038,29.2047,29.0663,223.0436,0
-73.614,29.9023,79.4554,-15.8242,21.096,14.6593,23.1122,85.4614,0
15.2555,-54.5737,56.6659,6.0556,28.0479,4.9087,23.8443,170.2485,0
57.213,-40.724,70.2266,30.2367,-13.3379,28.5259,4.5317,184.0612,0
-2.2133,-36.4311,36.4982,-21.6795,30.4071,29.5193,12.28,239.0921,0
43.8562,33.7392,55.3327,-19.8197,18.195,25.9307,14.1963,281.7604,0
-9.7701,6.8186,11.9142,2.8976,-12.9519,22.8307,18.7866,35.5387,0
-12.4311,-13.5128,18.361,-2.015,4.8273,3.5192,3.7556,91.8934,0
-13.6316,9.0377,16.3554,-19.9982,-0.8528,8.0698,23.9268,52.1489,0
38.0873,40.7492,55.7776,11.682,10.1981,18.0006,8.7499,59.4506,0
-29.9344,6.5311,30.6386,-34.1394,-5.4601,7.2614,29.5999,128.3013,0
-5.8507,-69.2694,69.5161,-17.5173,7.3926,9.7938,15.5313,94.5938,0
36.372,5.4137,36.7727,1.0521,35.851,17.0262,20.6839,216.1571,0
46.8948,60.1908,76.3024,-28.0437,-7.5101,0.9476,28.0864,176.157,0
0.5026,-6.9241,6.9423,10.3775,-19.917,10.1835,24.4448,293.2927,0
-9.5274,-17.372,19.8131,6.6285,0.3754,15.7921,21.9477,7.66,0
62.468,5.9669,62.7524,-9.6166,-36.4473,29.276,10.1069,218.729,0
-10.3344,22.1006,24.3975,-24.2873,-23.1365,6.8536,29.89,116.8083,0
-12.7344,-64.9576,66.194,-7.2145,-8.0437,7.7305,13.8787,50.7972,0
-39.6772,-5.4455,40.0491,-20.9356,21.4026,29.6295,1.2033,103.8082,0
4.8054,14.8166,15.5763,-6.0476,-33.5742,27.0211,12.6516,113.5881,1
-28.9397,42.0898,51.0789,8.0061,19.3532,21.9934,3.947,69.5547,0
79.1712,-5.6566,79.373,9.7143,-36.3456,25.6316,14.7683,224.4668,0
-8.6072,7.8133,11.6246,-5.4147,12.6542,4.9057,11.7324,256.0604,0
11.6736,-19.4316,22.6685,9.6409,-22.9173,29.0946,13.6137,58.5193,0
16.7245,30.9109,35.1454,7.5788,1.4905,12.9266,7.4614,32.2676,0
-13.037,56.8783,58.3533,-6.2278,3.152,19.9141,14.2389,13.8601,0
-37.9513,-75.6352,84.6226,9.5163,0.9105,8.0925,1.7126,145.957,0
41.2855,81.1765,91.0721,-0.0909,9.7677,9.4847,15.217,38.4373,0
-98.169,-1.3307,98.178,-7.5091,-7.9268,19.1736,26.0375,21.9082,0
-34.9195,-63.6891,72.6338,-12.5348,-27.5592,9.2379,21.1404,169.7684,0
-29.731,34.985,45.9116,11.981,19.8497,26.0443,5.3145,52.3762,0
-44.7439,-6.5401,45.2194,-10.0612,-12.1429,26.0671,17.1183,324.2022,0
-47.3852,-1.7628,47.4179,-19.9543,-23.6875,11.8159,19.537,198.4508,0
-2.224,35.8696,35.9385,22.1388,-12.7324,26.1226,23.4716,61.7159,0
-55.1482,26.3453,61.1179,-28.1927,32.1551,24.2354,22.8686,130.4029,0
-27.3345,-11.445,29.6338,4.0443,-16.2662,9.7376,10.9938,107.746,0
-15.1014,-7.5442,16.881,4.3484,2.2139,6.8181,2.1959,23.3151,1
-23.9705,39.984,46.6187,-23.1685,9.5787,15.5725,14.3755,113.6181,0
19.9977,13.478,24.1156,-11.5957,-5.6602,18.2372,22.9465,34.1506,1
-75.9746,-1.067,75.9821,23.3637,-31.331,19.4242,26.9409,246.0788,0
29.1355,-83.3015,88.2498,0.4549,-7.0181,14.5762,7.7033,8.0701,0
-49.1718,7.1173,49.6842,24.2874,-5.4357,21.4845,8.1787,104.9987,1
0.0289,-15.5954,15.5955,19.265,11.9342,21.2714,3.2063,111.8698,0
-15.6934,6.6681,17.0513,-16.4952,-10.9282,1.3024,18.9945,125.9249,0
-59.1109,-67.2162,89.5104,0.169,8.2382,18.3294,12.3309,21.6583,0
42.7104,3.7935,42.8786,22.7103,28.6209,24.6784,12.7121,205.9253,0
-3.7251,-28.3753,28.6188,16.7563,-6.9804,22.1062,25.8839,43.5691,0
58.3455,-9.5274,59.1183,-5.9568,4.1305,6.9584,11.7272,35.1754,0
-29.2641,26.7879,39.6734,26.041,10.8327,12.846,21.5279,107.5751,0
59.5945,47.4277,76.1636,-5.1869,-5.6859,8.2248,2.3826,291.0717,0
3.4789,3.1625,4.7015,2.9475,-15.6572,2.0827,15.5718,263.7878,0
64.6367,11.0865,65.5806,3.2506,-22.3746,15.9887,9.73,121.1346,0
-43.6356,6.8811,44.1748,14.6413,4.8496,13.9562,1.8043,142.3182,0
2.5631,-15.4177,15.6293,-7.8862,13.9488,2.9003,13.5111,147.093,0
26.2266,-56.0808,61.9103,-7.8662,-1.4589,11.9795,4.5725,23.5737,0
-1.8999,-21.8448,21.9272,8.5637,-22.0416,2.6737,22.6581,251.4075,0
-74.5868,-40.5616,84.9025,3.241,-8.2988,7.8934,10.8041,305.7534,0
-15.6821,14.1678,21.1342,-31.2234,9.0356,18.0178,15.4704,152.0743,0
-78.3648,7.917,78.7637,20.2159,-19.3934,3.491,24.5235,179.0464,0
-7.8026,-50.1246,50.7283,-5.2207,-13.5261,2.4276,12.0894,187.7136,0
29.4872,-15.313,33.2263,-29.2917,3.9546,3.9757,25.8604,156.8503,0
-43.1414,-26.2244,50.4866,12.0456,-7.0202,11.9599,4.3912,107.7704,0
93.7303,41.4363,102.4809,-1.9923,-27.3171,28.9747,12.9749,69.9573,0
20.1315,11.0373,22.9586,7.3414,-7.8413,18.5876,19.506,32.6431,0
-72.2598,53.5066,89.9135,-0.3079,20.9803,1.7334,20.8511,268.0196,0
16.1026,-2.0339,16.2305,22.5968,1.1898,20.7648,1.8688,175.4189,0
-50.7717,0.8676,50.7791,-1.099,-19.9302,15.8112,12.7825,272.1218,0
-8.2025,21.9507,23.4332,18.9516,26.1679,24.8261,22.0084,272.9785,0
-39.6962,-22.1531,45.4593,23.1418,9.0343,22.8087,4.1133,115.239,0
96.3753,56.0336,111.4808,-36.1875,-22.6568,28.7873,14.6356,157.7604,1
-35.6295,-35.6116,50.375,-9.2727,5.9494,4.5015,9.7403,94.082,0
8.3558,39.054,39.9379,-17.5995,52.32,26.7625,28.66,169.7387,0
-43.3464,40.3268,59.2044,-16.4888,-20.8145,1.1528,27.0529,63.2606,0
-2.2684,-28.1184,28.2098,-2.4003,-17.1227,1.9996,15.5522,211.4153,0
-47.0549,-59.5436,75.892,-17.2153,-9.1388,21.4897,2.1625,21.2934,0
-60.325,-44.0973,74.724,14.7483,30.2456,10.4911,23.2396,171.423,0
48.6193,66.5977,82.4566,-6.2994,-4.0514,7.9514,0.6283,318.8478,0
32.9219,-38.7284,50.8305,5.1897,0.483,6.1706,3.6416,57.4635,0
-60.1953,43.8187,74.455,-30.8173,-2.2396,23.9614,8.7847,136.1119,0
22.9347,-9.1595,24.6961,-1.8455,11.6972,3.8429,10.148,253.2485,0
6.7238,18.0863,19.2957,-18.1004,-12.73,28.2923,7.2208,27.3489,0
-60.1018,17.0136,62.4635,-22.9178,37.9944,25.8411,25.3954,240.0068,0
8.6957,26.7951,28.1708,-29.1594,-26.4086,23.2934,19.6849,132.3353,0
-94.1496,-77.2573,121.7902,3.3169,24.8083,3.9519,21.7794,217.5386,0
22.6949,-29.8466,37.495,-8.7829,-22.9847,17.7104,15.2508,96.2905,0
-5.2594,-11.2201,12.3916,-4.505,13.5623,4.8021,13.8467,85.445,0
-62.7284,-59.0316,86.1369,21.929,2.056,24.0021,6.1211,64.0751,0
-26.0601,59.5767,65.027,-0.9942,16.6217,16.6268,0.1569,261.2446,0
21.234,16.546,26.9194,6.5483,-12.3409,9.8079,4.4666,205.5768,0
-54.7724,35.3761,65.2034,5.4696,-7.465,26.5859,17.7913,7.5946,0
-7.6029,35.2275,36.0386,17.49,12.8712,23.8259,2.7897,38.6026,0
-6.2342,49.6631,50.0529,13.629,-1.9784,16.8198,18.1046,46.2676,0
22.8435,-74.7991,78.2095,-3.017,-7.9603,1.7565,10.0271,27.7978,0
-34.8416,-36.9817,50.8092,-5.9685,7.5969,9.8458,13.0206,47.5241,0
40.0122,19.745,44.6189,15.448,2.2321,19.277,12.6374,53.8107,0
72.1466,-2.6072,72.1937,-18.2948,-2.2953,17.1562,17.6331,63.9933,0
-31.032,80.55,86.3209,16.9442,-13.471,8.1921,15.5424,231.1033,0
61.3433,41.2277,73.9103,-18.5501,1.1218,5.583,24.0793,8.9215,0
59.4459,41.586,72.548,10.5778,31.4408,13.1055,21.8852,218.3777,0
14.115,52.1601,54.0362,-27.2896,-8.0424,28.6984,2.0687,81.0476,0
64.4549,0.2567,64.4554,11.5606,-24.9957,8.1585,22.7819,117.7095,0
-3.1753,-42.4918,42.6103,23.0885,7.7152,27.1931,4.1774,43.677,0
-32.552,-23.6044,40.2094,-10.7472,16.5931,28.9018,16.805,318.4432,0
31.2028,72.1139,78.575,-20.4604,-15.1218,7.6959,19.6252,132.2037,0
14.4595,-62.2499,63.9072,-0.5563,1.1555,3.4229,4.5374,9.2339,0
-32.7225,-44.6454,55.3532,-29.1847,-31.5715,25.8042,21.6844,230.46,0
-8.5238,40.2971,41.1887,-16.7428,-20.7533,4.9732,28.3709,65.1431,0
18.8678,13.3666,23.1227,-15.5219,5.6468,1.8682,15.3751,124.9789,0
14.9407,-52.7657,54.8402,-10.0426,3.7331,4.9412,9.9065,85.4516,0
67.4701,-0.7252,67.474,-5.2657,-12.7333,7.1639,13.5372,76.6718,0
43.6764,84.4016,95.0329,-20.9959,-22.3882,16.1611,14.9344,198.4703,0
-4.6491,58.4057,58.5904,5.59,-21.0815,6.113,15.6999,182.0579,0
22.0321,-23.8612,32.4772,-20.3382,-38.064,27.4527,15.9909,193.6599,0
6.3918,58.9382,59.2837,3.4951,21.7504,8.3071,29.5056,22.0695,0
47.0068,-74.1885,87.827,2.2118,-19.0445,13.2097,18.4589,287.6228,0
16.3523,-8.7446,18.5436,29.6661,39.4135,29.5233,20.0376,168.7379,0
-71.9694,-41.4882,83.0715,15.421,6.4168,16.7927,15.822,61.5256,0
10.8005,12.6681,16.6473,-0.3079,38.7249,24.5719,16.2238,142.5214,0
-1.1903,-46.3839,46.3991,19.0164,9.299,14.8264,24.8475,58.1207,0
-61.1377,-58.6104,84.6935,3.9766,-11.7452,4.2592,10.4382,107.4511,0
-29.8773,22.0519,37.134,30.0113,31.4893,14.1386,29.3731,182.8359,0
1.015,-25.5463,25.5664,12.6008,-27.1203,5.2464,25.6721,219.5502,0
41.4874,-13.0227,43.4833,-11.082,4.1201,9.1593,6.3793,97.4725,0
21.8042,-17.224,27.7865,18.1807,-34.5887,23.6534,19.9495,232.8869,0
-55.9743,-11.3385,57.1111,-5.7301,21.6976,13.8107,25.9369,59.8492,0
-55.4252,-6.8696,55.8493,21.4985,-43.2065,22.1971,27.5423,208.1896,0
46.1744,-10.5863,47.3724,-9.6628,27.7264,0.5402,28.8843,151.8912,0
4.3359,-16.8941,17.4416,-16.5191,4.1662,21.1106,16.221,52.3294,0
28.8861,12.959,31.6598,8.9703,11.5893,8.9171,8.9976,250.2181,0
-23.509,-25.9042,34.9815,-23.1748,-7.1961,26.7691,5.5599,57.7948,0
-21.1771,96.0767,98.383,-15.9915,-23.6364,25.6709,15.6434,276.3837,0
-50.5121,79.4694,94.164,-36.9378,2.9938,20.076,24.8786,110.5944,0
-20.05,0.4169,20.0543,-35.0479,20.8027,23.2164,18.0577,161.6916,0
-1.5392,7.1326,7.2968,-17.1481,5.862,7.123,15.3709,100.9031,0
46.2864,-5.1573,46.5728,28.5508,23.1971,22.3078,15.188,202.7419,0
21.8102,-31.6204,38.4127,-8.1958,7.9905,4.2007,8.3044,230.4668,0
12.8739,8.4586,15.404,9.2732,0.5312,6.2098,15.4972,0.777,0
-11.1043,30.2139,32.1899,19.3701,18.4392,24.0776,17.1615,78.9044,0
-84.4661,22.0051,87.2854,10.6989,-7.2,3.4152,10.3567,132.0518,0
49.927,-57.077,75.832,-2.7674,2.3911,8.2419,11.8373,3.8906,0
-29.9706,-40.466,50.3561,17.9598,22.5635,24.7137,28.6518,295.0679,1
-37.8794,0.8389,37.8887,-28.9767,1.7987,18.1139,20.5977,96.9664,0
-33.5212,4.9895,33.8904,-21.0388,-9.1937,22.5353,2.1302,98.8529,0
-26.3056,-30.6653,40.4023,11.9455,13.2826,17.8098,0.3039,99.7887,1
11.14,-75.314,76.1334,27.7092,7.2872,27.0736,1.9933,141.0589,0
28.3334,6.3966,29.0465,-13.621,-12.5623,17.316,1.3122,156.8301,0
30.9124,11.6431,33.0324,7.6191,31.1227,20.7748,12.8979,143.1308,0
14.0106,0.9395,14.0421,-44.7105,23.1502,24.6727,25.7269,174.834,0
5.2306,1.8875,5.5607,25.2299,2.8881,21.1676,20.6522,74.7694,0
45.9568,20.3283,50.252,2.3231,3.0974,4.6338,0.7634,3.2112,0
6.9025,23.9506,24.9254,17.0361,2.5331,20.3136,18.1734,52.8124,0
-29.9762,-31.3449,43.3713,15.3642,0.314,14.5677,0.8261,165.0824,0
-35.3251,34.8991,49.6569,-0.8643,4.9776,4.8007,0.7006,107.1686,0
-17.3106,5.5836,18.1888,19.8703,-17.9397,9.419,26.6521,80.5552,0
-2.2878,10.1076,10.3633,16.9612,11.39,11.5654,10.2116,139.4145,0
20.819,29.1945,35.8574,3.8671,-4.664,13.2132,9.07,23.296,0
21.26,62.3969,65.9194,21.3193,16.0972,16.7313,10.4183,158.8575,0
4.4854,-22.4456,22.8893,-2.647,9.7195,29.8155,26.4094,19.4503,1
-22.5523,-16.1853,27.7591,13.8884,-17.7779,14.2664,16.2907,265.0605,0
-37.6068,14.7826,40.4079,3.7287,-25.5746,3.9196,23.7153,240.9803,0
66.8275,-72.8295,98.8435,33.0648,-23.6966,13.8803,29.4296,136.8504,0
-30.2948,-17.2107,34.8422,11.2139,2.1767,22.8539,11.5962,6.822,0
40.346,-45.7993,61.0359,44.2897,4.8118,24.8256,22.9358,137.7065,0
65.3487,32.9886,73.2032,-3.5518,-27.6287,25.4091,26.7927,295.5626,0
17.8273,41.595,45.2544,-2.2224,-13.5653,0.5735,14.3053,12.5946,0
-39.3137,22.428,45.2613,2.1676,-25.6106,24.1331,8.3628,268.8275,0
66.7958,-16.9352,68.9092,0.8896,8.4421,8.8386,0.4295,34.659,0
1.2952,62.6072,62.6206,-28.5719,1.228,19.7562,22.9835,83.6342,0
-1.0955,-8.0085,8.0831,8.6232,-8.6618,12.2132,1.9803,85.6161,0
-73.5919,0.7427,73.5956,-22.8713,-7.3155,15.6773,8.987,152.5544,0
-74.429,-63.4185,97.7833,-3.0498,-3.3211,12.0862,8.8587,17.5033,0
-39.838,-2.3117,39.905,-10.525,-20.5759,9.6449,14.2931,149.2009,0
